Nº pcs,Nº Processes / pc,Prime Value,Time (secs),,Nº pcs,Nº Processes / pc,Prime Value,Time (secs),,Nº pcs,Nº Processes / pc,Prime Value,Time (secs),,Nº pcs,Nº Processes / pc,Prime Value,Time (secs)
4,1,2^25,0.0400639,,4,1,2^25,0.0400639,,4,1,2^25,0.0400639,,4,1,2^25,0.0400639
4,1,2^26,0.157733,,4,1,2^26,0.157733,,4,1,2^26,0.157733,,4,1,2^26,0.157733
4,1,2^27,0.415071,,4,1,2^27,0.415071,,4,1,2^27,0.415071,,4,1,2^27,0.415071
4,1,2^28,0.919419,,4,1,2^28,0.919419,,4,1,2^28,0.919419,,4,1,2^28,0.919419
4,1,2^29,1.97312,,4,1,2^29,1.97312,,4,1,2^29,1.97312,,4,1,2^29,1.97312
4,1,2^30,4.13483,,4,1,2^30,4.13483,,4,1,2^30,4.13483,,4,1,2^30,4.13483
4,1,2^31,8.52277,,4,1,2^31,8.52277,,4,1,2^31,8.52277,,4,1,2^31,8.52277
4,1,2^32,17.5121,,4,1,2^32,17.5121,,4,1,2^32,17.5121,,4,1,2^32,17.5121
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Nº pcs,Nº Processes / pc,Prime Value,Time (secs),,Nº pcs,Nº Processes / pc,Prime Value,Time (secs),,Nº pcs,Nº Processes / pc,Prime Value,Time (secs),,Nº pcs,Nº Processes / pc,Prime Value,Time (secs)
4,2,2^25,0.0362639,,4,2,2^25,0.0362639,,4,2,2^25,0.0362639,,4,2,2^25,0.0362639
4,2,2^26,0.138315,,4,2,2^26,0.138315,,4,2,2^26,0.138315,,4,2,2^26,0.138315
4,2,2^27,0.394917,,4,2,2^27,0.394917,,4,2,2^27,0.394917,,4,2,2^27,0.394917
4,2,2^28,0.890947,,4,2,2^28,0.890947,,4,2,2^28,0.890947,,4,2,2^28,0.890947
4,2,2^29,1.90799,,4,2,2^29,1.90799,,4,2,2^29,1.90799,,4,2,2^29,1.90799
4,2,2^30,3.96743,,4,2,2^30,3.96743,,4,2,2^30,3.96743,,4,2,2^30,3.96743
4,2,2^31,8.20978,,4,2,2^31,8.20978,,4,2,2^31,8.20978,,4,2,2^31,8.20978
4,2,2^32,16.8589,,4,2,2^32,16.8589,,4,2,2^32,16.8589,,4,2,2^32,16.8589
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Nº pcs,Nº Processes / pc,Prime Value,Time (secs),,Nº pcs,Nº Processes / pc,Prime Value,Time (secs),,Nº pcs,Nº Processes / pc,Prime Value,Time (secs),,Nº pcs,Nº Processes / pc,Prime Value,Time (secs)
4,3,2^25,0.0276458,,4,3,2^25,0.0276458,,4,3,2^25,0.0276458,,4,3,2^25,0.0276458
4,3,2^26,0.13026,,4,3,2^26,0.13026,,4,3,2^26,0.13026,,4,3,2^26,0.13026
4,3,2^27,0.356813,,4,3,2^27,0.356813,,4,3,2^27,0.356813,,4,3,2^27,0.356813
4,3,2^28,0.842196,,4,3,2^28,0.842196,,4,3,2^28,0.842196,,4,3,2^28,0.842196
