Nº pcs,Nº Processes / pc,Prime Value,Time (secs),Speedup,MOP/s,Efficiency,,,
4,8,2^25,0.069545,3.713322309,,,,,
4,8,2^26,0.165836,2.961148363,,,,,
4,8,2^27,0.489769,2.168900032,,,,,
4,8,2^28,1.12667,1.992686412,,,,,
4,8,2^29,2.42518,1.93906844,,,,,
4,8,2^30,5.06512,1.939711201,,,,,
4,8,2^31,10.3573,1.965792243,,,,,
4,8,2^32,21.1931,1.996168564,,,,,
Number Threads: 1,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Nº pcs,Nº Processes / pc,Prime Value,Time (secs),,,,,,
4,8,2^25,0.291893,0.88471803,,,,,
4,8,2^26,0.220923,2.22278803,,,,,
4,8,2^27,0.860335,1.234705086,,,,,
4,8,2^28,1.22604,1.831180059,,,,,
4,8,2^29,2.65199,1.773230668,,,,,
4,8,2^30,5.06041,1.941516596,,,,,
4,8,2^31,10.3954,1.958587452,,,,,
4,8,2^32,21.6264,1.956173936,,,,,
Number Threads: 2,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Nº pcs,Nº Processes / pc,Prime Value,Time (secs),,,,,,
4,8,2^25,2.01913,0.127898154,,,,,
4,8,2^26,0.152263,3.2251105,,,,,
4,8,2^27,0.480863,2.209069943,,,,,
4,8,2^28,1.57352,1.426801058,,,,,
4,8,2^29,26.0281,0.18067358,,,,,
4,8,2^30,6.2672,1.567664986,,,,,
4,8,2^31,25.724,0.791490437,,,,,
4,8,2^32,22.7628,1.85851477,,,,,
Number Threads: 3,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Nº pcs,Nº Processes / pc,Prime Value,Time (secs),,,,,,
4,8,2^25,9.34467,0.027635326,,,,,
4,8,2^26,9.05336,0.054241188,,,,,
4,8,2^27,6.58718,0.161261724,,,,,
4,8,2^28,5.72874,0.391901186,,,,,
4,8,2^29,4.5158,1.041363656,,,,,
4,8,2^30,11.3297,0.867178301,,,,,
4,8,2^31,19.6455,1.036384923,,,,,
4,8,2^32,44.9811,0.940506124,,,,,
Number Threads: 4,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Nº pcs,Nº Processes / pc,Prime Value,Time (secs),,,,,,
4,8,2^25,13.4765,0.019162468,,,,,
4,8,2^26,17.1374,0.02865458,,,,,
4,8,2^27,31.1732,0.034076065,,,,,
4,8,2^28,44.0181,0.051004019,,,,,
4,8,2^29,65.8285,0.071436992,,,,,
4,8,2^30,52.3895,0.187535098,,,,,
4,8,2^31,73.8175,0.27581942,,,,,
4,8,2^32,199.316,0.212250898,,,,,
Number Threads: 5,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Nº pcs,Nº Processes / pc,Prime Value,Time (secs),,,,,,
4,8,2^25,24.4987,0.01054109,,,,,
4,8,2^26,40.0749,0.01225368,,,,,
4,8,2^27,53.7857,0.019749859,,,,,
4,8,2^28,78.0477,0.028765742,,,,,
4,8,2^29,69.6297,0.067537129,,,,,
4,8,2^30,151.39,0.064897748,,,,,
4,8,2^31,114.175,0.178325378,,,,,
4,8,2^32,298.338,0.141802251,,,,,
Number Threads: 6,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Nº pcs,Nº Processes / pc,Prime Value,Time (secs),,,,,,
4,8,2^25,33.6113,0.00768322,,,,,
4,8,2^26,45.0176,0.010908289,,,,,
4,8,2^27,66.4904,0.015976141,,,,,
4,8,2^28,95.4865,0.023512224,,,,,
4,8,2^29,127.041,0.037016318,,,,,
4,8,2^30,184.005,0.053394582,,,,,
4,8,2^31,277.022,0.073497051,,,,,
4,8,2^32,337.116,0.125490929,,,,,
Number Threads: 7,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Nº pcs,Nº Processes / pc,Prime Value,Time (secs),,,,,,
4,8,2^25,35.6169,0.007250575,,,,,
4,8,2^26,52.4609,0.00936059,,,,,
4,8,2^27,71.3973,0.014878154,,,,,
4,8,2^28,101.895,0.022033466,,,,,
4,8,2^29,145.116,0.032405731,,,,,
4,8,2^30,202.101,0.048613663,,,,,
4,8,2^31,281.442,0.072342792,,,,,
4,8,2^32,400.439,0.105646553,,,,,
Number Threads: 8,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Sequential Times,,,,,,,,,
Prime Value,Time (secs),,,,,,,auxiliar table,
2^25,0.258243,,,,,,,33554432,val of 2^25
2^26,0.491065,,,,,,,67108864,
2^27,1.06226,,,,,,,134217728,
2^28,2.2451,,,,,,,268435456,
2^29,4.70259,,,,,,,536870912,
2^30,9.82487,,,,,,,1073741824,
2^31,20.3603,,,,,,,2147483648,
2^32,42.305,,,,,,,4294967296,val of 2^32
