Prime Value, Time (secs),Speedup,MOP/s,,Prime Value, Time (secs),Speedup,MOP/s,,Prime Value, Time (secs),Speedup,MOP/s,,Prime Value, Time (secs),Speedup,MOP/s
2^25,0.196815,1.312110357,486.2912741,,2^25,0.187875,1.374546906,509.4313619,,2^25,0.186757,1.382775478,512.481016,,2^25,0.179233,1.44082284,533.9943934
2^26,0.421151,1.166006967,460.763222,,2^26,0.421544,1.164919913,460.3336585,,2^26,0.421435,1.165221208,460.4527192,,2^26,0.41898,1.172048785,463.1507273
2^27,0.889603,1.194083203,441.9580471,,2^27,0.890784,1.19250009,441.3720998,,2^27,0.892123,1.19071025,440.7096382,,2^27,0.899243,1.181282479,437.2202002
2^28,1.87303,1.198646044,425.0315127,,2^28,1.87625,1.196588941,424.3020782,,2^28,1.87263,1.198902079,425.1223008,,2^28,2.05175,1.094236627,388.008663
2^29,3.86379,1.217092544,416.9566817,,2^29,3.91565,1.200973019,411.434387,,2^29,3.8848,1.210510194,414.7016725,,2^29,4.32111,1.088282872,372.8285226
2^30,7.99543,1.228810708,407.5412615,,2^30,8.06268,1.218561322,404.142001,,2^30,8.03786,1.222324101,405.3899456,,2^30,8.28396,1.18601128,393.3466154
2^31,16.4845,1.235117838,399.6087758,,2^31,16.653,1.222620549,395.5654156,,2^31,16.7137,1.218180295,394.1288204,,2^31,17.5962,1.157085052,374.3621274
2^32,33.9616,1.245671582,391.9444712,,2^32,34.2376,1.235629834,388.7848842,,2^32,34.2929,1.233637284,388.157938,,2^32,34.6651,1.220391691,383.990277
Number Threads: ,8,,,,Number Threads: ,7,,,,Number Threads: ,6,,,,Number Threads: ,5,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Prime Value, Time (secs),Speedup,MOP/s,,Prime Value, Time (secs),Speedup,MOP/s,,Prime Value, Time (secs),Speedup,MOP/s,,Prime Value, Time (secs),Speedup,MOP/s
2^25,0.18165,1.421651528,526.8891666,,2^25,0.21471,1.20275255,445.7613391,,2^25,0.179727,1.436862575,532.5266494,,2^25,0.269484,0.958286948,355.1580692
2^26,0.39647,1.238593084,489.4465955,,2^26,0.45979,1.068020183,422.0424362,,2^26,0.409774,1.198380083,473.5558911,,2^26,0.511604,0.959853715,379.299012
2^27,0.854703,1.24284108,460.0044747,,2^27,0.979891,1.084059349,401.2356523,,2^27,0.875875,1.21279863,448.885063,,2^27,1.08374,0.980179748,362.7873886
2^28,1.79741,1.249075058,442.9132887,,2^28,2.06297,1.088285336,385.8983767,,2^28,1.83078,1.226307912,434.8402179,,2^28,2.30868,0.972460454,344.8276826
2^29,3.74344,1.25622155,430.3616613,,2^29,4.29145,1.095804448,375.4052959,,2^29,3.85143,1.220998434,418.2947781,,2^29,4.93787,0.952351925,326.2607273
2^30,7.75234,1.267342506,420.3205263,,2^30,8.90926,1.1027706,365.7394249,,2^30,7.94754,1.236215231,409.9970089,,2^30,10.2153,0.961779879,318.9791419
2^31,16.2138,1.255738938,406.2805058,,2^31,18.4404,1.104113794,357.2238599,,2^31,16.5073,1.233411884,399.0568334,,2^31,20.4143,0.997354795,322.6831616
2^32,33.1975,1.274342948,400.9657761,,2^32,33.7058,1.255125231,394.9190155,,2^32,34.0951,1.240794132,390.4098053,,2^32,42.2614,1.001031674,314.9697206
Number Threads: ,4,,,,Number Threads: ,3,,,,Number Threads: ,2,,,,Number Threads: ,1,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Sequential Times,,,,,,,,,,,,,,,,,,
Prime Value,Time (secs),,,,,,,auxiliar table,,,,,,,,,,
2^25,0.258243,,,,,,,33554432,val of 2^25,,,,,,,,,
2^26,0.491065,,,,,,,67108864,,,,,,,,,,
2^27,1.06226,,,,,,,134217728,,,,,,,,,,
2^28,2.2451,,,,,,,268435456,,,,,,,,,,
2^29,4.70259,,,,,,,536870912,,,,,,,,,,
2^30,9.82487,,,,,,,1073741824,,,,,,,,,,
2^31,20.3603,,,,,,,2147483648,,,,,,,,,,
2^32,42.305,,,,,,,4294967296,val of 2^32,,,,,,,,,
